Village,Department,Arrondissement,Region,postal_code,population,Lat_Village,Lon_Village,year
BANDJOUN,KOUNG-KHI,PETE-BANDJOUN,OUEST,84691,0,5.37878,10.41816,2025
MOUANGKO,SANAGA-MARITIME,MOUANKO,LITTORAL,53712,250,3.63972,9.77694,2025
WUM,MENCHUM,WUM,NORD-OUEST,74481,6439,6.38333,10.06667,2025
KRIBI,OCEAN,KRIBI II,SUD,93758,10796,2.95,9.91667,2025
MUYUKA,FAKO,MUYUKA,SUD-OUEST,11117,5950,4.2898,9.4103,2025
MUNDEMBA,NDIAN,MUDEMBA,SUD-OUEST,16151,0,4.9479,8.8724,2025
MOKOLO,MAYO-TSANAGA,MOKOLO,EXTREME-NORD,46628,4760,10.73978,13.80188,2025
LOLODORF,NYONG-ET-KELLE,LOLODORF,CENTRE,28638,1251,3.23333,10.73333,2025
KOZA,MAYO-SAVA,KOZA,EXTREME-NORD,45214,655,10.87079,13.87855,2025
EDÉA,SANAGA-MARITIME,NGWEI,LITTORAL,53997,955,3.8,10.13333,2025
FUNDONG,BOYO,NJINIKOM,NORD-OUEST,71526,5052,6.25,10.26667,2025
FOUMBOT,MIFI,FOUMBOT,OUEST,86433,4359,5.50787,10.6356,2025
ÉVODOULA,LEKIE,EVODOULA,CENTRE,22785,1152,4.08333,11.2,2025
DJOHONG,MBERE,DJOHONG,ADAMAOUA,14488,674,6.83333,14.7,2025
BANA,HAUT-NKAM,BANA,OUEST,82395,1984,5.1481,10.2762,2025
REY BOUBA,MAYO-REY,REY-BOUBA,NORD,64776,1813,8.6724,14.1786,2025
TIKO,FAKO,TIKO,SUD-OUEST,11256,7250,4.0745,9.3699,2025
TIGNÈRE,FARO-ET-DEO,TIGNÃ¨RE,ADAMAOUA,12592,0,7.36667,12.65,2025
SOA,MFOUNDI,SOA,CENTRE,27748,1922,3.98333,11.6,2025
BAZOU,NDE,BAZOU,OUEST,87421,670,5.05695,10.46978,2025
BANYO,MAYO-BANYO,BANYO,ADAMAOUA,13212,4317,6.75,11.81667,2025
NGOMEDZAP,NYONG-ET-SO,NGOMEDZAP,CENTRE,21296,141,3.25,11.2,2025
BÉLABO,LOM-ET-DJEREM,BÃ©LABO,EST,34497,0,4.93333,13.3,2025
BÉLEL,MBERE,BÃ©LEL,ADAMAOUA,14165,0,7.05,14.43333,2025
BATIBO,MOMO,BATIBO,NORD-OUEST,76579,2203,5.8358,9.8553,2025
MINTA,HAUTE-SANAGA,MINTA,CENTRE,21192,764,4.58333,12.8,2025
NGAMBÉ,SANAGA-MARITIME,NGAMBÃ©,LITTORAL,53899,0,4.23333,10.61667,2025
NGUTI,KUPE-MANENGUBA,NGUTI,SUD-OUEST,12751,1382,5.3299,9.4185,2025
SANGMÉLIMA,MVILA,SANGMÃ©LIMA,SUD,92453,0,2.93333,11.98333,2025
EBOLOWA,MVILA,BIWONG-BANÃ©,SUD,92243,0,2.9,11.15,2025
BAFIA,MBAM-ET-INOUBOU,BAFIA,CENTRE,23178,7313,4.75,11.23333,2025
BAFANG,HAUT-NKAM,BANKA,OUEST,82563,2226,5.15625,10.17882,2025
BAMENDA,MEZAM,BAMENDA III,NORD-OUEST,75562,0,5.95266,10.15824,2025
GAROUA BOULAÏ,MBERE,GAROUA-BOULAÃ¯,ADAMAOUA,14564,0,5.88333,14.55,2025
BOGO,DIAMARE,BOGO,EXTREME-NORD,41171,3075,10.7336,14.60928,2025
DIZANGUÉ,SANAGA-MARITIME,DIZANGUÃ©,LITTORAL,53258,0,3.76667,9.98333,2025
BAFOUSSAM,MIFI,BAFOUSSAM III,OUEST,86392,6094,5.47366,10.41786,2025
NGORO,MBAM-ET-INOUBOU,NGORO,CENTRE,23185,4656,4.95,11.38333,2025
TONGA,NDE,MAKENENE,OUEST,87627,4008,4.96667,10.7,2025
NJINIKOM,BOYO,NJINIKOM,NORD-OUEST,71526,5052,6.23333,10.28333,2025
MEÏGANGA,MBERE,MEIGANGA,ADAMAOUA,14646,2701,6.51667,14.3,2025
DIBOMBARI,WOURI,DIBOMBARI,LITTORAL,54356,931,4.1787,9.6561,2025
BUEA,FAKO,BUEA,SUD-OUEST,11235,13743,4.1527,9.241,2025
BERTOUA,LOM-ET-DJEREM,BERTOUA II,EST,34262,32937,4.57728,13.68459,2025
BATOURI,KADEI,BATOURI,EST,33158,1977,4.43333,14.36667,2025
BAMENDJOU,HAUTS-PLATEAUX,BAMENDJOU,OUEST,83376,1230,5.38875,10.33161,2025
AKONO,MEFOU-ET-AKONO,AKONO,CENTRE,26176,489,3.5,11.33333,2025
FONTEM,LEBIALEM,MENJI,SUD-OUEST,13755,0,5.4685,9.8818,2025
MINDIF,MAYO-KANI,MINDIF,EXTREME-NORD,44758,2780,10.39757,14.43626,2025
NTUI,LEKIE,NTUI,CENTRE,22346,2241,4.45,11.63333,2025
NKOTENG,HAUTE-SANAGA,NKOTENG,CENTRE,21489,536,4.51667,12.03333,2025
NKONGSAMBA,HAUT-NKAM,NKONGSAMBA II,OUEST,82543,15985,4.9547,9.9404,2025
TIBATI,DJEREM,TABATI,ADAMAOUA,11554,0,6.46667,12.63333,2025
TCHOLLIRÉ,MAYO-REY,TCHOLLIRÃ©,NORD,64832,0,8.4022,14.1698,2025
MBANGA,MOUNGO,MOMBO,LITTORAL,51764,609,4.5016,9.5671,2025
MBANG,HAUTE-SANAGA,DIANG,CENTRE,21347,1027,4.58333,13.33333,2025
MBALMAYO,NYONG-ET-SO,MBALMAYO,CENTRE,21774,4678,3.51667,11.5,2025
KAÉLÉ,MAYO-KANI,KAÃ©LÃ©,EXTREME-NORD,44588,0,10.10917,14.45083,2025
AKONOLINGA,NYONG-ET-MFOUMOU,AKONOLINGA,CENTRE,29367,630,3.76667,12.25,2025
KUMBA,MEME,KUMBA II,SUD-OUEST,15651,21858,4.6363,9.4469,2025
YOKADOUMA,BOUMBA-ET-NGOKO,GARI-GOMBO,EST,31192,0,3.51667,15.05,2025
NANGA EBOKO,HAUTE-SANAGA,NANGA-EBOKO,CENTRE,21283,811,4.68333,12.36667,2025
ESÉKA,NYONG-ET-KELLE,ÃSÃ©KA,CENTRE,28644,0,3.65,10.76667,2025
MAAN,VALLEE-DU-NTEM,MA'AN,SUD,94617,381,2.35,10.61667,2025
NGAOUNDÉRÉ,VINA,NGAOUNDÃ©RÃ© II,ADAMAOUA,15875,0,7.31667,13.58333,2025
ABONG-MBANG,HAUT-NYONG,ABONG-MBANG,EST,32193,2189,3.98333,13.18333,2025
MAROUA,DIAMARE,MAROUA II,EXTREME-NORD,41621,50414,10.59095,14.31592,2025
GAROUA,BENOUE,GAROUA I,NORD,61565,57055,9.3,13.4,2025
AKOM II,OCEAN,AKOM II,SUD,93141,816,2.78333,10.56667,2025
MBANKOMO,MFOUNDI,MBANKOMO,CENTRE,27392,1321,3.78333,11.38333,2025
LOUM,MOUNGO,LOUM,LITTORAL,51421,2979,4.7182,9.7351,2025
MELONG,HAUT-NKAM,MÃ©LONG,OUEST,82148,0,5.1218,9.96143,2025
YAGOUA,MAYO-DANAY,YAGOUA,EXTREME-NORD,43642,9351,10.34107,15.23288,2025
PITOA,BENOUE,GAROUA II,NORD,61682,16304,9.38333,13.53333,2025
MBOUDA,BAMBOUTOS,MBOUDA,OUEST,81756,2359,5.62578,10.25517,2025
JAKIRI,BUI,JAKIRI,NORD-OUEST,72275,18584,6.1,10.65,2025
BONABÉRI,WOURI,DOUALA I,LITTORAL,54597,110182,4.0779,9.6759,2025
KOUSSÉRI,LOGONE-ET-CHARI,KOUSSÃ©RI,EXTREME-NORD,42615,0,12.07689,15.03063,2025
BÉTARÉ OYA,LOM-ET-DJEREM,BÃ©TARÃ©-OYA,EST,34542,0,5.6,14.08333,2025
KUMBO,BUI,KUMBO,NORD-OUEST,72311,61313,6.2,10.66667,2025
KONTCHA,FARO-ET-DEO,KONTCHA,ADAMAOUA,12235,1455,7.96667,12.23333,2025
GUIDER,MAYO-LOUTI,GUIDER,NORD,63639,5073,9.93417,13.94861,2025
FOUMBAN,NOUN,FOUMBAN,OUEST,88358,2975,5.7291,10.90011,2025
NDIKINIMÉKI,MBAM-ET-INOUBOU,NITOUKOU,CENTRE,23271,9717,4.76667,10.83333,2025
NDÉLÉLÉ,KADEI,NDÃ©LÃ©LÃ©,EST,33284,0,4.04065,14.92501,2025
YOKO,MBAM-ET-KIM,YOKO,CENTRE,24769,344,5.53333,12.31667,2025
ESSÉ,MEFOU-ET-AFAMBA,ESSE,CENTRE,25657,1027,4.1,11.9,2025
MAKARI,LOGONE-ET-CHARI,HILÃ© - ALIFA,EXTREME-NORD,42586,0,12.5717,14.46662,2025
POLI,FARO,LAGDO,NORD,62357,401,8.48333,13.25,2025
LAGDO,BENOUE,BIBEMI,NORD,61256,162,9.05,13.73333,2025
DSCHANG,MENOUA,DSCHANG,OUEST,85334,2842,5.44559,10.055,2025
DOUMÉ,HAUT-NYONG,DOUMÃ©,EST,32318,0,4.23333,13.45,2025
MANJO,MOUNGO,MANJO,LITTORAL,51588,2413,4.8428,9.8217,2025
MAMFE,MANYU,MAMFE,SUD-OUEST,14357,0,5.754,9.3123,2025
OBALA,LEKIE,OBALA,CENTRE,22589,4411,4.16667,11.53333,2025
AMBAM,VALLEE-DU-NTEM,AMBAM,SUD,94151,1316,2.38333,11.28333,2025
MBENGWI,MEZAM,MBENGWI,NORD-OUEST,75626,2973,6.01667,10.0,2025
YABASSI,NKAM,YABASSI,LITTORAL,52582,504,4.45697,9.96822,2025
MORA,MAYO-SAVA,KOLOFATA,EXTREME-NORD,45198,1704,11.04611,14.14011,2025
BANGANGTÉ,NDE,BASSAMBA,OUEST,87214,225,5.14091,10.51975,2025
BALI,MEZAM,BALI,NORD-OUEST,75233,2401,5.88724,10.01248,2025
LIMBE,FAKO,LIMBÃ© I,SUD-OUEST,11598,0,4.0242,9.2149,2025
BELO,MEZAM,NJINIKOM,NORD-OUEST,75726,5052,6.13333,10.25,2025
BANKIM,MAYO-BANYO,BANKIM,ADAMAOUA,13162,4263,6.08303,11.4905,2025
NGOU,HAUTS-PLATEAUX,BANGOU,OUEST,83512,898,5.1959,10.38441,2025
SAA,LEKIE,SA'A,CENTRE,22836,2547,4.36667,11.45,2025
OMBÉSA,MBAM-ET-INOUBOU,OMBESSA,CENTRE,23437,2245,4.6,11.25,2025
MME-BAFUMEN,BOYO,FUNDONG,NORD-OUEST,71425,8232,6.33333,10.23333,2025
MBANDJOK,MEFOU-ET-AFAMBA,MBANDJOCK,CENTRE,25839,3128,4.45,11.9,2025
BAMUSSO,NDIAN,BAMUSSO,SUD-OUEST,16177,1430,4.4591,8.9027,2025
PENJA,MOUNGO,PENJA,LITTORAL,51187,0,4.63911,9.67987,2025
IDENAO,FAKO,IDENAU,SUD-OUEST,11446,0,4.2475,9.00472,2025
NDOM,MOUNGO,MOMBO,LITTORAL,51764,609,4.4978,9.5628,2025
MVANGUÉ,MVILA,MENGONG,SUD,92859,780,2.96667,11.51667,2025
MUTENGENE,FAKO,LIMBÃ© I,SUD-OUEST,11598,0,4.0913,9.3144,2025
BEKONDO,MEME,KUMBA I,SUD-OUEST,15567,9064,4.6819,9.3214,2025
DIANG,NKAM,YABASSI,LITTORAL,52582,504,4.25,10.01667,2025
BABANKI,MEZAM,TUBAH,NORD-OUEST,75913,5051,6.11667,10.25,2025
SOMIÉ,MAYO-BANYO,MAYO-DARLÃ©,ADAMAOUA,13421,0,6.45843,11.43299,2025
DIMAKO,KADEI,DIMAKO,EST,33439,1870,4.38333,13.56667,2025
OKOLA,LEKIE,OKALA,CENTRE,22651,0,4.01667,11.38333,2025
BANSOA,HAUTS-PLATEAUX,BAFOUSSAM III,OUEST,83192,4063,5.44718,10.31514,2025
EYUMOJOK,MANYU,EYUMODJOCK,SUD-OUEST,14237,1579,5.750358,8.983317,2025
MBE,VINA,MBÃ©,ADAMAOUA,15446,0,7.850437,13.600038,2025
OVENG,MVILA,AMBAM,SUD,92151,1316,2.41667,11.56667,2025
AKOM,DJA-ET-LOBO,BENGBIS,SUD,91179,358,3.28333,12.46667,2025
SOUMI,FARO,BÃ©KA,NORD,62173,0,8.57084,13.00554,2025
MEBA,NYONG-ET-SO,ZOÃ©TÃ©LÃ©,CENTRE,21631,0,3.28333,11.88333,2025
ADJAP,MVILA,BIWONG-BANÃ©,SUD,92243,0,2.96667,11.11667,2025
NKOADJAP,MVILA,BIWONG-BULU,SUD,92384,854,2.55,11.53333,2025
SOLOA,MAYO-LOUTI,FIGUIL,NORD,63523,2035,9.66472,13.96794,2025
LAMINGUEL,MAYO-LOUTI,GUIDER,NORD,63639,3382,9.91042,13.77728,2025
DAFEN,DIAMARE,ZINA,EXTREME-NORD,41542,645,11.09096,14.88235,2025
GALEGALE,LOGONE-ET-CHARI,GOULFEY,EXTREME-NORD,42427,750,12.20354,14.69994,2025
BAMGUEL-MBORORO,MAYO-TSANAGA,HINA,EXTREME-NORD,46375,598,10.28561,13.83162,2025
FADARE,DIAMARE,PÃ©TTÃ©,EXTREME-NORD,41286,0,10.91999,14.60241,2025
KONGOLA DJIDDEO,DIAMARE,MAROUA II,EXTREME-NORD,41621,8600,10.61667,14.4,2025
GOIZINAK,LOGONE-ET-CHARI,ZINA,EXTREME-NORD,42142,645,11.51017,15.11491,2025
GUETAMA,MAYO-SAVA,MOZOGO,EXTREME-NORD,45552,0,11.04993,13.83486,2025
MAWAK,MAYO-SAVA,KOZA,EXTREME-NORD,45214,655,10.93504,13.90911,2025
WAGLAM,LOGONE-ET-CHARI,BLANGOUA,EXTREME-NORD,42161,1672,12.6855,14.4892,2025
GOULOUNDOUMA,LOGONE-ET-CHARI,WAZA,EXTREME-NORD,42943,1091,11.50278,14.72679,2025
POUMPOUM,NYONG-ET-MFOUMOU,MESSAMÃ©NA,CENTRE,29521,0,3.65,12.58333,2025
BERKONG,HAUTE-SANAGA,NANGA-EBOKO,CENTRE,21283,811,4.65,12.6,2025
MEBEM,NYONG-ET-MFOUMOU,ENDOM,CENTRE,29961,583,3.48333,12.18333,2025
MEMIAM,NYONG-ET-SO,MBALMAYO,CENTRE,21774,4678,3.46667,11.6,2025
MBENGUENI,HAUTE-SANAGA,NKOTENG,CENTRE,21489,536,4.78333,12.05,2025
BINDALIMA I,LEKIE,NTUI,CENTRE,22346,2241,4.45,11.63333,2025
AVO,LEKIE,MONATÃ©LÃ©,CENTRE,22121,0,4.26667,11.23333,2025
NKOLELOUGA,LEKIE,EBEBDA,CENTRE,22482,1386,4.46667,11.36667,2025
BIKOUE,OCEAN,LOKOUNDJÃ©,SUD,93834,0,3.2,10.03333,2025
NKONO,DJA-ET-LOBO,OVENG,SUD,91725,411,2.4,12.43333,2025
LAK,MAYO-LOUTI,MAYO-OULO,NORD,63822,0,9.97767,13.71518,2025
BOBOK,FARO,MBÃ©,NORD,62446,0,8.13333,13.63333,2025
GOULOUM,MAYO-LOUTI,MAYO-OULO,NORD,63822,0,10.03903,13.66974,2025
BIGALERE,MAYO-REY,MADINGRING,NORD,64455,2028,8.38333,14.95,2025
KITCHIHA,MAYO-LOUTI,BASCHÃ©O,NORD,63175,0,10.01473,13.3353,2025
OURO GALDIMA,BENOUE,LAGDO,NORD,61857,401,8.68333,13.58333,2025
SANGUERE-PAUL,BENOUE,GAROUA III,NORD,61786,2381,9.28164,13.45958,2025
SOUARI,BENOUE,PITOA,NORD,61233,2036,9.31745,13.66739,2025
MASGA,MAYO-LOUTI,FIGUIL,NORD,63523,2035,10.02912,13.99705,2025
HAITA,MAYO-REY,MADINGRING,NORD,64455,2028,8.23333,14.95,2025
NDJAMENA,LOGONE-ET-CHARI,LOGONE-BIRNI,EXTREME-NORD,42733,0,12.01474,14.72028,2025
BABADAM,DIAMARE,BOGO,EXTREME-NORD,41171,3075,10.78182,14.73783,2025
MELDERE,MAYO-TSANAGA,KOZA,EXTREME-NORD,46414,655,10.83253,13.8285,2025
PALBARA,MAYO-SAVA,TOKOMBÃ©RÃ©,EXTREME-NORD,45889,0,10.90754,14.21119,2025
MAFAOLI,MAYO-TSANAGA,MOKOLO,EXTREME-NORD,46628,3173,10.72839,13.82106,2025
DJEMBELE,MAYO-TSANAGA,KOZA,EXTREME-NORD,46414,655,10.79888,13.82059,2025
JAOUE,MAYO-TSANAGA,KOZA,EXTREME-NORD,46414,655,10.77291,13.84003,2025
MATAL,MAYO-SAVA,KOZA,EXTREME-NORD,45214,655,10.93163,13.99486,2025
NKOLNGOK,MEFOU-ET-AKONO,AKONO,CENTRE,26176,489,3.5,11.36667,2025
OSOE BIKOBO,MEFOU-ET-AKONO,AKONO,CENTRE,26176,489,3.45,11.18333,2025
KOUNDJIRI,MBAM-ET-KIM,YOKO,CENTRE,24769,344,5.36667,12.21667,2025
OSOMBE,LEKIE,NTUI,CENTRE,22346,2241,4.6,11.65,2025
AFAMVE,MEFOU-ET-AFAMBA,EDZENDOUAN,CENTRE,25474,5947,4.16667,11.66667,2025
EFOULAN,NYONG-ET-SO,ENDOM,CENTRE,21661,583,3.4,12.06667,2025
DJOP,DJA-ET-LOBO,DJOUM,SUD,91262,743,2.43333,12.68333,2025
BIKOU,VALLEE-DU-NTEM,EBOLOWA I,SUD,94354,2688,2.81667,10.95,2025
NKOUMADJAP II,NYONG-ET-SO,ZOÃ©TÃ©LÃ©,CENTRE,21631,0,3.2,11.95,2025
MANG,MVILA,SANGMÃ©LIMA,SUD,92453,0,2.91667,12.01667,2025
MBA,MAYO-BANYO,BANYO,ADAMAOUA,13212,4317,6.98333,11.91667,2025
NIE DEUWA,DJEREM,TABATI,ADAMAOUA,11554,0,6.87329,12.81997,2025
NJA',HAUTS-PLATEAUX,PENKA-MICHEL,OUEST,83857,1289,5.45548,10.26218,2025
FAMLOUH,HAUTS-PLATEAUX,BANGOU,OUEST,83512,898,5.19299,10.43377,2025
KEKEM,HAUT-NKAM,KÃ©KEM,OUEST,82959,0,5.15689,10.01996,2025
NGWIHO,KOUNG-KHI,BAYANGAM,OUEST,84353,461,5.2607,10.48145,2025
BAKADJOU,BAMBOUTOS,MBOUDA,OUEST,81756,2359,5.54509,10.29508,2025
NZENKOP,MENOUA,NKONG-ZEM,OUEST,85824,0,5.48193,10.10815,2025
KONE,BENOUE,NGONG,NORD,61167,0,8.82923,13.28359,2025
DJIMI,FARO,LAGDO,NORD,62357,401,8.52646,13.51343,2025
PITOA-DOULI,BENOUE,GAROUA III,NORD,61786,2381,9.27306,13.53361,2025
NIAKIRA,BENOUE,GAROUA II,NORD,61682,16304,9.38159,13.45016,2025
GANDJIBA,FARO,LAGDO,NORD,62357,401,8.42913,13.33745,2025
AMSA,MAYO-TSANAGA,MOGODÃ©,EXTREME-NORD,46586,0,10.44778,13.54263,2025
MBOUGOUANE,MAYO-TSANAGA,MOGODÃ©,EXTREME-NORD,46586,0,10.55535,13.6956,2025
SAO,LOGONE-ET-CHARI,GOULFEY,EXTREME-NORD,42427,750,12.2592,14.81148,2025
ROUA,MAYO-SAVA,SOULÃ¨DÃ©-ROUA,EXTREME-NORD,45773,0,10.77895,13.99153,2025
BIVON,MAYO-TSANAGA,HINA,EXTREME-NORD,46375,893,10.25474,13.85919,2025
GOULVOU,MAYO-TSANAGA,HINA,EXTREME-NORD,46375,893,10.41071,13.77719,2025
WARADE,MAYO-SAVA,KOLOFATA,EXTREME-NORD,45198,1704,11.1463,13.95175,2025
KABO SANG HIRE,LOGONE-ET-CHARI,KOUSSÃ©RI,EXTREME-NORD,42615,0,12.09591,14.70853,2025
OURO DEOUMARE,MAYO-DANAY,MOULVOUDAYE,EXTREME-NORD,43252,3139,10.38425,14.86175,2025
MADAKOLKOS,MAYO-SAVA,TOKOMBÃ©RÃ©,EXTREME-NORD,45889,0,10.90367,14.1133,2025
BILAO,MAYO-KANI,GUIDIGUIS,EXTREME-NORD,44417,2464,10.07394,14.52485,2025
CHICHIEM,MAYO-TSANAGA,MOKOLO,EXTREME-NORD,46628,3173,10.72966,13.88235,2025
MATSARI,MBAM-ET-KIM,YOKO,CENTRE,24769,344,5.35,12.23333,2025
MAFIA,NOUN,DEUK,OUEST,88271,3197,5.33333,11.35,2025
ADOUM,NYONG-ET-SO,DZENG,CENTRE,21585,485,3.61667,11.76667,2025
