Village,Department,Arrondissement,Region,postal_code,population,Lat_Village,Lon_Village,year
BANDJOUN,KOUNG-KHI,PETE-BANDJOUN,OUEST,84691,0,5.37878,10.41816,2010
MOUANGKO,SANAGA-MARITIME,MOUANKO,LITTORAL,53712,164,3.63972,9.77694,2010
WUM,MENCHUM,WUM,NORD-OUEST,74481,4253,6.38333,10.06667,2010
KRIBI,OCEAN,KRIBI II,SUD,93758,7479,2.95,9.91667,2010
MUYUKA,FAKO,MUYUKA,SUD-OUEST,11117,3994,4.2898,9.4103,2010
MUNDEMBA,NDIAN,MUDEMBA,SUD-OUEST,16151,0,4.9479,8.8724,2010
MOKOLO,MAYO-TSANAGA,MOKOLO,EXTREME-NORD,46628,2054,10.73978,13.80188,2010
LOLODORF,NYONG-ET-KELLE,LOLODORF,CENTRE,28638,813,3.23333,10.73333,2010
KOZA,MAYO-SAVA,KOZA,EXTREME-NORD,45214,424,10.87079,13.87855,2010
EDÉA,SANAGA-MARITIME,NGWEI,LITTORAL,53997,629,3.8,10.13333,2010
FUNDONG,BOYO,NJINIKOM,NORD-OUEST,71526,3338,6.25,10.26667,2010
FOUMBOT,MIFI,FOUMBOT,OUEST,86433,2920,5.50787,10.6356,2010
ÉVODOULA,LEKIE,EVODOULA,CENTRE,22785,748,4.08333,11.2,2010
DJOHONG,MBERE,DJOHONG,ADAMAOUA,14488,463,6.83333,14.7,2010
BANA,HAUT-NKAM,BANA,OUEST,82395,1330,5.1481,10.2762,2010
REY BOUBA,MAYO-REY,REY-BOUBA,NORD,64776,1196,8.6724,14.1786,2010
TIKO,FAKO,TIKO,SUD-OUEST,11256,4868,4.0745,9.3699,2010
TIGNÈRE,FARO-ET-DEO,TIGNÃ¨RE,ADAMAOUA,12592,0,7.36667,12.65,2010
SOA,MFOUNDI,SOA,CENTRE,27748,1248,3.98333,11.6,2010
BAZOU,NDE,BAZOU,OUEST,87421,450,5.05695,10.46978,2010
BANYO,MAYO-BANYO,BANYO,ADAMAOUA,13212,2959,6.75,11.81667,2010
NGOMEDZAP,NYONG-ET-SO,NGOMEDZAP,CENTRE,21296,92,3.25,11.2,2010
BÉLABO,LOM-ET-DJEREM,BÃ©LABO,EST,34497,0,4.93333,13.3,2010
BÉLEL,MBERE,BÃ©LEL,ADAMAOUA,14165,0,7.05,14.43333,2010
BATIBO,MOMO,BATIBO,NORD-OUEST,76579,1455,5.8358,9.8553,2010
MINTA,HAUTE-SANAGA,MINTA,CENTRE,21192,497,4.58333,12.8,2010
NGAMBÉ,SANAGA-MARITIME,NGAMBÃ©,LITTORAL,53899,0,4.23333,10.61667,2010
NGUTI,KUPE-MANENGUBA,NGUTI,SUD-OUEST,12751,927,5.3299,9.4185,2010
SANGMÉLIMA,MVILA,SANGMÃ©LIMA,SUD,92453,0,2.93333,11.98333,2010
EBOLOWA,MVILA,BIWONG-BANÃ©,SUD,92243,0,2.9,11.15,2010
BAFIA,MBAM-ET-INOUBOU,BAFIA,CENTRE,23178,4750,4.75,11.23333,2010
BAFANG,HAUT-NKAM,BANKA,OUEST,82563,1492,5.15625,10.17882,2010
BAMENDA,MEZAM,BAMENDA III,NORD-OUEST,75562,0,5.95266,10.15824,2010
GAROUA BOULAÏ,MBERE,GAROUA-BOULAÃ¯,ADAMAOUA,14564,0,5.88333,14.55,2010
BOGO,DIAMARE,BOGO,EXTREME-NORD,41171,1990,10.7336,14.60928,2010
DIZANGUÉ,SANAGA-MARITIME,DIZANGUÃ©,LITTORAL,53258,0,3.76667,9.98333,2010
BAFOUSSAM,MIFI,BAFOUSSAM III,OUEST,86392,2722,5.47366,10.41786,2010
NGORO,MBAM-ET-INOUBOU,NGORO,CENTRE,23185,3023,4.95,11.38333,2010
TONGA,NDE,MAKENENE,OUEST,87627,2685,4.96667,10.7,2010
NJINIKOM,BOYO,NJINIKOM,NORD-OUEST,71526,3338,6.23333,10.28333,2010
MEÏGANGA,MBERE,MEIGANGA,ADAMAOUA,14646,1851,6.51667,14.3,2010
DIBOMBARI,WOURI,DIBOMBARI,LITTORAL,54356,613,4.1787,9.6561,2010
BUEA,FAKO,BUEA,SUD-OUEST,11235,6152,4.1527,9.241,2010
