Village,Department,Arrondissement,Region,postal_code,population,Lat_Village,Lon_Village,year
BANDJOUN,KOUNG-KHI,PETE-BANDJOUN,OUEST,84691,0,5.37878,10.41816,2015
MOUANGKO,SANAGA-MARITIME,MOUANKO,LITTORAL,53712,190,3.63972,9.77694,2015
WUM,MENCHUM,WUM,NORD-OUEST,74481,4927,6.38333,10.06667,2015
KRIBI,OCEAN,KRIBI II,SUD,93758,8533,2.95,9.91667,2015
MUYUKA,FAKO,MUYUKA,SUD-OUEST,11117,4599,4.2898,9.4103,2015
MUNDEMBA,NDIAN,MUDEMBA,SUD-OUEST,16151,0,4.9479,8.8724,2015
MOKOLO,MAYO-TSANAGA,MOKOLO,EXTREME-NORD,46628,2397,10.73978,13.80188,2015
LOLODORF,NYONG-ET-KELLE,LOLODORF,CENTRE,28638,945,3.23333,10.73333,2015
KOZA,MAYO-SAVA,KOZA,EXTREME-NORD,45214,495,10.87079,13.87855,2015
EDÉA,SANAGA-MARITIME,NGWEI,LITTORAL,53997,728,3.8,10.13333,2015
FUNDONG,BOYO,NJINIKOM,NORD-OUEST,71526,3866,6.25,10.26667,2015
FOUMBOT,MIFI,FOUMBOT,OUEST,86433,3365,5.50787,10.6356,2015
ÉVODOULA,LEKIE,EVODOULA,CENTRE,22785,870,4.08333,11.2,2015
DJOHONG,MBERE,DJOHONG,ADAMAOUA,14488,530,6.83333,14.7,2015
BANA,HAUT-NKAM,BANA,OUEST,82395,1532,5.1481,10.2762,2015
REY BOUBA,MAYO-REY,REY-BOUBA,NORD,64776,1387,8.6724,14.1786,2015
TIKO,FAKO,TIKO,SUD-OUEST,11256,5604,4.0745,9.3699,2015
TIGNÈRE,FARO-ET-DEO,TIGNÃ¨RE,ADAMAOUA,12592,0,7.36667,12.65,2015
SOA,MFOUNDI,SOA,CENTRE,27748,1450,3.98333,11.6,2015
BAZOU,NDE,BAZOU,OUEST,87421,518,5.05695,10.46978,2015
BANYO,MAYO-BANYO,BANYO,ADAMAOUA,13212,3390,6.75,11.81667,2015
NGOMEDZAP,NYONG-ET-SO,NGOMEDZAP,CENTRE,21296,107,3.25,11.2,2015
BÉLABO,LOM-ET-DJEREM,BÃ©LABO,EST,34497,0,4.93333,13.3,2015
BÉLEL,MBERE,BÃ©LEL,ADAMAOUA,14165,0,7.05,14.43333,2015
BATIBO,MOMO,BATIBO,NORD-OUEST,76579,1685,5.8358,9.8553,2015
MINTA,HAUTE-SANAGA,MINTA,CENTRE,21192,577,4.58333,12.8,2015
NGAMBÉ,SANAGA-MARITIME,NGAMBÃ©,LITTORAL,53899,0,4.23333,10.61667,2015
NGUTI,KUPE-MANENGUBA,NGUTI,SUD-OUEST,12751,1068,5.3299,9.4185,2015
SANGMÉLIMA,MVILA,SANGMÃ©LIMA,SUD,92453,0,2.93333,11.98333,2015
EBOLOWA,MVILA,BIWONG-BANÃ©,SUD,92243,0,2.9,11.15,2015
BAFIA,MBAM-ET-INOUBOU,BAFIA,CENTRE,23178,5522,4.75,11.23333,2015
BAFANG,HAUT-NKAM,BANKA,OUEST,82563,1719,5.15625,10.17882,2015
BAMENDA,MEZAM,BAMENDA III,NORD-OUEST,75562,0,5.95266,10.15824,2015
GAROUA BOULAÏ,MBERE,GAROUA-BOULAÃ¯,ADAMAOUA,14564,0,5.88333,14.55,2015
BOGO,DIAMARE,BOGO,EXTREME-NORD,41171,2322,10.7336,14.60928,2015
DIZANGUÉ,SANAGA-MARITIME,DIZANGUÃ©,LITTORAL,53258,0,3.76667,9.98333,2015
BAFOUSSAM,MIFI,BAFOUSSAM III,OUEST,86392,3137,5.47366,10.41786,2015
NGORO,MBAM-ET-INOUBOU,NGORO,CENTRE,23185,3515,4.95,11.38333,2015
TONGA,NDE,MAKENENE,OUEST,87627,3095,4.96667,10.7,2015
NJINIKOM,BOYO,NJINIKOM,NORD-OUEST,71526,3866,6.23333,10.28333,2015
MEÏGANGA,MBERE,MEIGANGA,ADAMAOUA,14646,2120,6.51667,14.3,2015
DIBOMBARI,WOURI,DIBOMBARI,LITTORAL,54356,709,4.1787,9.6561,2015
BUEA,FAKO,BUEA,SUD-OUEST,11235,7082,4.1527,9.241,2015
BERTOUA,LOM-ET-DJEREM,BERTOUA II,EST,34262,17236,4.57728,13.68459,2015
BATOURI,KADEI,BATOURI,EST,33158,1551,4.43333,14.36667,2015
BAMENDJOU,HAUTS-PLATEAUX,BAMENDJOU,OUEST,83376,950,5.38875,10.33161,2015
AKONO,MEFOU-ET-AKONO,AKONO,CENTRE,26176,369,3.5,11.33333,2015
FONTEM,LEBIALEM,MENJI,SUD-OUEST,13755,0,5.4685,9.8818,2015
MINDIF,MAYO-KANI,MINDIF,EXTREME-NORD,44758,2099,10.39757,14.43626,2015
NTUI,LEKIE,NTUI,CENTRE,22346,1691,4.45,11.63333,2015
NKOTENG,HAUTE-SANAGA,NKOTENG,CENTRE,21489,404,4.51667,12.03333,2015
