Village,Department,Arrondissement,Region,postal_code,population,Lat_Village,Lon_Village,year
BANDJOUN,KOUNG-KHI,PETE-BANDJOUN,OUEST,84691,0,5.37878,10.41816,2005
MOUANGKO,SANAGA-MARITIME,MOUANKO,LITTORAL,53712,188,3.63972,9.77694,2005
WUM,MENCHUM,WUM,NORD-OUEST,74481,4868,6.38333,10.06667,2005
KRIBI,OCEAN,KRIBI II,SUD,93758,4342,2.95,9.91667,2005
MUYUKA,FAKO,MUYUKA,SUD-OUEST,11117,4604,4.2898,9.4103,2005
MUNDEMBA,NDIAN,MUDEMBA,SUD-OUEST,16151,0,4.9479,8.8724,2005
MOKOLO,MAYO-TSANAGA,MOKOLO,EXTREME-NORD,46628,2331,10.73978,13.80188,2005
LOLODORF,NYONG-ET-KELLE,LOLODORF,CENTRE,28638,931,3.23333,10.73333,2005
KOZA,MAYO-SAVA,KOZA,EXTREME-NORD,45214,481,10.87079,13.87855,2005
EDÉA,SANAGA-MARITIME,NGWEI,LITTORAL,53997,362,3.8,10.13333,2005
FUNDONG,BOYO,NJINIKOM,NORD-OUEST,71526,3822,6.25,10.26667,2005
FOUMBOT,MIFI,FOUMBOT,OUEST,86433,3362,5.50787,10.6356,2005
ÉVODOULA,LEKIE,EVODOULA,CENTRE,22785,856,4.08333,11.2,2005
DJOHONG,MBERE,DJOHONG,ADAMAOUA,14488,536,6.83333,14.7,2005
BANA,HAUT-NKAM,BANA,OUEST,82395,1532,5.1481,10.2762,2005
REY BOUBA,MAYO-REY,REY-BOUBA,NORD,64776,1367,8.6724,14.1786,2005
TIKO,FAKO,TIKO,SUD-OUEST,11256,5563,4.0745,9.3699,2005
TIGNÈRE,FARO-ET-DEO,TIGNÃ¨RE,ADAMAOUA,12592,0,7.36667,12.65,2005
SOA,MFOUNDI,SOA,CENTRE,27748,1428,3.98333,11.6,2005
BAZOU,NDE,BAZOU,OUEST,87421,518,5.05695,10.46978,2005
BANYO,MAYO-BANYO,BANYO,ADAMAOUA,13212,3422,6.75,11.81667,2005
NGOMEDZAP,NYONG-ET-SO,NGOMEDZAP,CENTRE,21296,91,3.25,11.2,2005
BÉLABO,LOM-ET-DJEREM,BÃ©LABO,EST,34497,0,4.93333,13.3,2005
BÉLEL,MBERE,BÃ©LEL,ADAMAOUA,14165,0,7.05,14.43333,2005
BATIBO,MOMO,BATIBO,NORD-OUEST,76579,1666,5.8358,9.8553,2005
MINTA,HAUTE-SANAGA,MINTA,CENTRE,21192,568,4.58333,12.8,2005
NGAMBÉ,SANAGA-MARITIME,NGAMBÃ©,LITTORAL,53899,0,4.23333,10.61667,2005
NGUTI,KUPE-MANENGUBA,NGUTI,SUD-OUEST,12751,1067,5.3299,9.4185,2005
SANGMÉLIMA,MVILA,SANGMÃ©LIMA,SUD,92453,0,2.93333,11.98333,2005
EBOLOWA,MVILA,BIWONG-BANÃ©,SUD,92243,0,2.9,11.15,2005
BAFIA,MBAM-ET-INOUBOU,BAFIA,CENTRE,23178,5433,4.75,11.23333,2005
BAFANG,HAUT-NKAM,BANKA,OUEST,82563,1718,5.15625,10.17882,2005
BAMENDA,MEZAM,BAMENDA III,NORD-OUEST,75562,0,5.95266,10.15824,2005
GAROUA BOULAÏ,MBERE,GAROUA-BOULAÃ¯,ADAMAOUA,14564,0,5.88333,14.55,2005
BOGO,DIAMARE,BOGO,EXTREME-NORD,41171,2259,10.7336,14.60928,2005
DIZANGUÉ,SANAGA-MARITIME,DIZANGUÃ©,LITTORAL,53258,0,3.76667,9.98333,2005
BAFOUSSAM,MIFI,BAFOUSSAM III,OUEST,86392,1567,5.47366,10.41786,2005
